HUALLAGA	TINGO DE SAPOSOA	TINGO DE SAPOSOA	0274183	0	085 RAMON RODRIGUEZ RIOS	A2 - Inicial - Jardín
BELLAVISTA	SAN RAFAEL	SAN RAFAEL	0274191	0	086 DANIEL ALCIDES CARRION	A2 - Inicial - Jardín
BELLAVISTA	BELLAVISTA	BELLAVISTA	0274209	0	094 RAITOS DE SOL	A2 - Inicial - Jardín
BELLAVISTA	SAN PABLO	SAN PABLO	0274225	0	0016 JOSE GABRIEL CONDORCANQUI	A2 - Inicial - Jardín
BELLAVISTA	SAN PABLO	HUINGOYACU	0274282	0	102	A2 - Inicial - Jardín
BELLAVISTA	SAN RAFAEL	LA LIBERTAD	0274290	0	103 CORAZONES TIERNOS	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	BARRANCA	0274308	0	104 ANGELITOS DEL SABER	A2 - Inicial - Jardín
BELLAVISTA	BAJO BIAVO	NUEVO LIMA	0274902	0	321	A2 - Inicial - Jardín
BELLAVISTA	BELLAVISTA	LIMON	0473652	0	109 SANTA TERESITA	A2 - Inicial - Jardín
BELLAVISTA	SAN PABLO	CONSUELO	0500892	0	120 EMILIA BARCIA BONIFATTI	A2 - Inicial - Jardín
BELLAVISTA	BAJO BIAVO	LA UNION	0502393	0	129	A2 - Inicial - Jardín
BELLAVISTA	BELLAVISTA	BELLAVISTA	0509745	0	137 FE Y ALEGRIA	A2 - Inicial - Jardín
BELLAVISTA	SAN PABLO	FAUSA SAPINA	0521583	0	136 MARIA CALVO RUIZ	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	JOSE OLAYA	0546622	0	128 MODESTA GARCIA SAAVEDRA	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	CUZCO	0546721	0	127 CUNITA DE AMOR	A2 - Inicial - Jardín
BELLAVISTA	SAN PABLO	FAUSA LAMISTA	0548032	0	119	A2 - Inicial - Jardín
BELLAVISTA	BAJO BIAVO	PAMPA HERMOSA	0548628	0	331	A2 - Inicial - Jardín
BELLAVISTA	BELLAVISTA	BELLAVISTA	0565226	0	0208 SANTIAGO ANTUNEZ DE MAYOLO	A2 - Inicial - Jardín
EL DORADO	SANTA ROSA	SANTA ELENA	0602862	0	184	A2 - Inicial - Jardín
BELLAVISTA	BELLAVISTA	LAS MERCEDES	0602870	0	185	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	INCAICO	0602946	0	190 ROSALIA PEZO REYNA	A3 - Inicial - Cuna-Jardín
